event_id,event_type,effective_year,event_date_est,event_date_precision,evidence_status,confidence,source,parent_ck,child_ck
c376ba7b-b43f-4658-8e3d-ae133a859646,NEW_DISTRICT,1988,1988-01-01,YEAR,OBSERVED,1.00,de6bc5836fb1,IND-000473,IND-000485
c378689d-2162-4cce-97e6-dcd4a3a6fa7c,SPLIT,1974,1974-01-01,YEAR,OBSERVED,1.00,dd2d53d2e895,,
c40cafb2-2ec0-4882-9906-ddbd903f8588,SPLIT,2019,2019-01-01,YEAR,OBSERVED,1.00,f2c78d7363ab,,
c45d31f5-ba86-48f6-b2db-3879dc48e185,SPLIT,2006,2006-01-01,YEAR,OBSERVED,1.00,4d99ded6e235,,
c4b7e400-da02-42ef-87f6-d55c3a8125c9,SPLIT,1966,1966-01-01,YEAR,OBSERVED,1.00,336355d392f4,,
c4ccbb91-2a14-41f1-9aa1-9be79679c518,SPLIT,2023,2023-01-01,YEAR,OBSERVED,1.00,56d8d7c3fc32,,
c506a507-92f1-41dc-901a-7a40ea8bcf00,SPLIT,2013,2013-01-01,YEAR,OBSERVED,1.00,217d609d1bf1,,
c509b69c-bea4-405f-a9c6-5570b3dbe6af,SPLIT,2012,2012-01-01,YEAR,OBSERVED,1.00,1cc5c5352fcb,,
c53dcb64-5c5c-4944-b082-06bd861501e4,SPLIT,2019,2019-01-01,YEAR,OBSERVED,1.00,d731cf0d0201,IND-000814,IND-000889
c5f0e0a7-500f-4e16-aa7d-562a695bde99,NEW_DISTRICT,1976,1976-01-01,YEAR,OBSERVED,1.00,82dbe257807f,IND-000024,IND-000392
c5f4bdec-3d54-48c5-a253-88fdd4f2237a,NEW_DISTRICT,1969,1969-01-01,YEAR,OBSERVED,1.00,a248b3011c2b,IND-000130,IND-000348
c5f524a5-0847-40a1-a809-b5c9ae3f7952,NEW_DISTRICT,1997,1997-01-01,YEAR,OBSERVED,1.00,df5cd5a0599e,IND-000714,IND-000715
c62f0269-2129-44b0-98c9-63dba213d276,RENAME,2011,2011-01-01,YEAR,OBSERVED,1.00,398efad6bda3,,
c6b76829-dd10-4585-88cc-3fd8c1254182,SPLIT,1989,1989-01-01,YEAR,OBSERVED,1.00,014d48d07ffd,,
